,NAMES,prices,ratings
0,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",4.2
1,"POCO C55 (Power Black, 64 GB)","₹5,999",4.2
2,"POCO C51 (Power Black, 128 GB)","₹5,999",4.1
3,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",4.2
4,"POCO C51 (Power Black, 64 GB)","₹5,499",4.0
5,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",4.2
6,"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",4.0
7,"POCO C51 (Royal Blue, 128 GB)","₹5,999",4.1
8,"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",4.2
9,"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",4.4
10,"vivo T2x 5G (Sunstone Orange, 128 GB)","₹12,999",4.4
11,"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",4.4
12,"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",4.4
13,"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",4.4
14,"vivo T2x 5G (Marine Blue, 128 GB)","₹11,999",4.4
15,"Infinix SMART 8 (Galaxy White, 128 GB)","₹8,299",4.3
16,"vivo T2x 5G (Aurora Gold, 128 GB)","₹14,999",4.3
17,"vivo T2x 5G (Aurora Gold, 128 GB)","₹11,999",4.4
18,"Infinix SMART 8 (Shiny Gold, 128 GB)","₹8,299",4.3
19,"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999",4.3
